pokemon,pokeball,status_effect,noise,average_capture_rate,effectiveness,variance
mewtwo,ultraball,SLEEP,0.0,0.015600000000000003,0.04,1.2037062152420224e-35
mewtwo,ultraball,FREEZE,0.0,0.015600000000000003,0.02,1.2037062152420224e-35
mewtwo,fastball,NONE,0.0,0.015600000000000003,0.01,1.2037062152420224e-35
mewtwo,fastball,POISON,0.0,0.023400000000000004,0.05,1.2037062152420224e-35
mewtwo,fastball,BURN,0.0,0.023400000000000004,0.02,1.2037062152420224e-35
mewtwo,fastball,PARALYSIS,0.0,0.023400000000000004,0.03,1.2037062152420224e-35
mewtwo,fastball,SLEEP,0.0,0.031299999999999994,0.05,4.81482486096809e-35
mewtwo,fastball,FREEZE,0.0,0.031299999999999994,0.02,4.81482486096809e-35
mewtwo,heavyball,NONE,0.0,0.0012999999999999995,0.0,1.88079096131566e-37
mewtwo,heavyball,POISON,0.0,0.0020000000000000005,0.01,1.88079096131566e-37
mewtwo,heavyball,BURN,0.0,0.0020000000000000005,0.0,1.88079096131566e-37
mewtwo,heavyball,PARALYSIS,0.0,0.0020000000000000005,0.01,1.88079096131566e-37
mewtwo,heavyball,SLEEP,0.0,0.002599999999999999,0.01,7.52316384526264e-37
mewtwo,heavyball,FREEZE,0.0,0.002599999999999999,0.01,7.52316384526264e-37
