Simulation,Generation,Best Fitness,Average Fitness,Class,Strength,Agility,Expertise,Endurance,Health,Height,Total Points,Performance
6,8,55.4099,48.8561,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,9,55.4869,49.9553,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,10,55.4869,51.4766,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,11,55.6260,53.1118,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,12,55.6895,54.2570,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,13,55.8236,54.7605,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,14,55.9631,55.1880,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,15,55.9645,55.2728,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,16,56.0897,55.4983,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
6,17,56.0964,55.6777,Warrior,71.2373,66.3348,58.4498,1.0586,2.9195,1.9357,200,56.0964
7,0,51.3101,31.2248,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
7,1,51.3101,38.6806,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
7,2,51.3101,44.1656,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
7,3,51.3101,47.4075,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
7,4,51.3101,50.0208,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
7,5,51.3101,50.5883,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
7,6,51.3101,51.1469,Warrior,73.1669,80.9455,27.0679,10.2111,8.6087,1.9691,200,51.3101
8,0,44.7051,30.4473,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,1,46.0511,34.4232,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,2,46.0511,38.6806,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,3,52.4403,42.6720,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,4,53.5753,44.8699,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,5,54.5006,47.7686,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,6,55.0620,49.6187,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,7,57.5480,51.0505,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,8,57.5480,52.5850,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,9,57.8900,53.6155,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,10,58.1043,55.0927,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,11,58.3785,55.8086,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,12,58.3834,56.4102,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,13,58.4435,57.1355,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,14,58.6200,57.6640,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,15,58.8725,58.0806,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,16,58.8725,58.2623,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
8,17,58.8725,58.4049,Warrior,83.7453,77.2176,32.8343,3.1857,3.0171,1.9214,200,58.8725
9,0,46.0611,30.9186,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,1,46.0611,36.7675,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,2,46.4706,40.8287,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,3,46.8791,43.3123,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,4,47.9233,44.9860,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,5,50.8249,45.4815,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,6,50.8249,46.4965,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,7,50.8702,48.0446,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,8,50.8751,48.9501,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,9,50.8751,49.7249,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,10,50.9902,50.3667,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
9,11,51.0374,50.6308,Warrior,84.3842,53.2538,37.9832,3.5611,20.8178,1.8958,200,51.0374
10,0,44.5990,31.3178,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,1,48.8043,36.5060,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,2,50.5640,40.9992,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,3,52.2409,44.1530,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,4,52.2409,46.4863,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,5,58.4724,49.0553,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,6,58.4724,51.1779,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,7,58.4724,53.8742,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,8,58.4724,55.7944,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,9,58.4835,56.9456,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,10,58.4835,57.7703,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
10,11,58.8137,58.3463,Warrior,80.2010,64.7503,53.5818,0.8511,0.6158,1.9113,200,58.8137
11,0,52.2008,31.0213,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,1,52.2008,36.9837,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
11,2,53.6305,42.9774,Warrior,83.6660,77.0540,36.8123,0.4971,1.9705,1.9196,200,60.1887
