pokemon,pokeball,status_effect,health_points,noise,capture_success,capture_rate
caterpie,pokeball,NONE,76,0.0,False,0.49670819888491824
caterpie,pokeball,NONE,75,0.0,True,0.5817826655199442
caterpie,pokeball,NONE,75,0.0,True,0.4941264279821885
caterpie,pokeball,NONE,75,0.0,False,0.47552073498327646
caterpie,pokeball,NONE,75,0.0,False,0.47268230035957115
caterpie,pokeball,NONE,75,0.0,True,0.4295032166512194
caterpie,pokeball,NONE,75,0.0,True,0.4255426615051258
caterpie,pokeball,NONE,75,0.0,True,0.4538897761003408
caterpie,pokeball,NONE,75,0.0,True,0.5512316603819468
caterpie,pokeball,NONE,75,0.0,False,0.4650071937175136
caterpie,pokeball,NONE,75,0.0,True,0.43825729273325853
caterpie,pokeball,NONE,74,0.0,True,0.6738612664390337
caterpie,pokeball,NONE,74,0.0,True,0.37214469837818376
caterpie,pokeball,NONE,74,0.0,False,0.3913552213360218
caterpie,pokeball,NONE,74,0.0,False,0.4372994595946922
caterpie,pokeball,NONE,74,0.0,True,0.5284006367172713
caterpie,pokeball,NONE,74,0.0,False,0.4077461152060313
caterpie,pokeball,NONE,74,0.0,True,0.5295199151232528
caterpie,pokeball,NONE,74,0.0,False,0.3992480951168743
caterpie,pokeball,NONE,74,0.0,False,0.5831230012722798
caterpie,pokeball,NONE,74,0.0,True,0.5556475469581597
caterpie,pokeball,NONE,73,0.0,False,0.44116438896029686
caterpie,pokeball,NONE,73,0.0,True,0.32165559219363377
caterpie,pokeball,NONE,73,0.0,True,0.561516564782178
caterpie,pokeball,NONE,73,0.0,False,0.5645143904860682
caterpie,pokeball,NONE,73,0.0,True,0.5060417510933342
caterpie,pokeball,NONE,73,0.0,False,0.3648574354297692
caterpie,pokeball,NONE,73,0.0,True,0.4405931737174937
caterpie,pokeball,NONE,73,0.0,False,0.6669545071094489
caterpie,pokeball,NONE,73,0.0,True,0.5436667076808651
caterpie,pokeball,NONE,73,0.0,False,0.513828959846254
caterpie,pokeball,NONE,72,0.0,True,0.5442877222159017
caterpie,pokeball,NONE,72,0.0,False,0.3794520907260817
caterpie,pokeball,NONE,72,0.0,False,0.474330504098162
caterpie,pokeball,NONE,72,0.0,False,0.4046216110897108
caterpie,pokeball,NONE,72,0.0,True,0.45046638826090935
caterpie,pokeball,NONE,72,0.0,False,0.5205559902096984
caterpie,pokeball,NONE,72,0.0,True,0.43855928385824
caterpie,pokeball,NONE,72,0.0,True,0.475127746381143
caterpie,pokeball,NONE,72,0.0,True,0.5036468419392217
caterpie,pokeball,NONE,72,0.0,True,0.583627121751301
caterpie,pokeball,NONE,71,0.0,False,0.2796594204147508
